Sl No,Timestamp,Day of Week,Weekday/Weekend,Weather,Festival/Holiday,Calamities,Road Construction,Traffic Density,Time Delay (min),Vehicle Density (veh/km)
681,2025-10-08 02:00,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,39,120
682,2025-10-08 02:15,Wednesday,Weekday,Cloudy,Dussehra,None,None,High,19,120
683,2025-10-08 02:30,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,44,178
684,2025-10-08 02:45,Wednesday,Weekday,Cloudy,Dussehra,None,None,High,20,77
685,2025-10-08 03:00,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,38,151
686,2025-10-08 03:15,Wednesday,Weekday,Cloudy,Dussehra,None,None,High,25,116
687,2025-10-08 03:30,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,30,136
688,2025-10-08 03:45,Wednesday,Weekday,Clear,Dussehra,None,None,High,11,83
689,2025-10-08 04:00,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,39,182
690,2025-10-08 04:15,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,33,193
691,2025-10-08 04:30,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,40,199
692,2025-10-08 04:45,Wednesday,Weekday,Cloudy,Dussehra,None,None,High,15,108
693,2025-10-08 05:00,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,41,139
694,2025-10-08 05:15,Wednesday,Weekday,Cloudy,Dussehra,None,None,High,25,81
695,2025-10-08 05:30,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,32,160
696,2025-10-08 05:45,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,27,154
697,2025-10-08 06:00,Wednesday,Weekday,Cloudy,Dussehra,None,None,High,15,100
698,2025-10-08 06:15,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,29,193
699,2025-10-08 06:30,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,28,195
700,2025-10-08 06:45,Wednesday,Weekday,Cloudy,Dussehra,None,None,High,17,112
701,2025-10-08 07:00,Wednesday,Weekday,Cloudy,Dussehra,None,None,High,14,120
702,2025-10-08 07:15,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,44,152
703,2025-10-08 07:30,Wednesday,Weekday,Clear,Dussehra,None,None,High,10,76
704,2025-10-08 07:45,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,26,198
705,2025-10-08 08:00,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,32,177
706,2025-10-08 08:15,Wednesday,Weekday,Cloudy,Dussehra,None,None,High,17,75
707,2025-10-08 08:30,Wednesday,Weekday,Cloudy,Dussehra,None,None,High,19,112
708,2025-10-08 08:45,Wednesday,Weekday,Cloudy,Dussehra,None,None,High,11,87
709,2025-10-08 09:00,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,29,174
710,2025-10-08 09:15,Wednesday,Weekday,Clear,Dussehra,None,None,High,12,77
711,2025-10-08 09:30,Wednesday,Weekday,Clear,Dussehra,None,None,High,24,93
712,2025-10-08 09:45,Wednesday,Weekday,Clear,Dussehra,None,None,High,25,119
713,2025-10-08 10:00,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,44,153
714,2025-10-08 10:15,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,29,122
715,2025-10-08 10:30,Wednesday,Weekday,Cloudy,Dussehra,None,None,High,12,98
716,2025-10-08 10:45,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,45,153
717,2025-10-08 11:00,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,25,193
718,2025-10-08 11:15,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,32,167
719,2025-10-08 11:30,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,29,165
720,2025-10-08 11:45,Wednesday,Weekday,Clear,Dussehra,None,None,High,17,110
721,2025-10-08 12:00,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,31,148
722,2025-10-08 12:15,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,38,129
723,2025-10-08 12:30,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,36,177
724,2025-10-08 12:45,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,27,144
725,2025-10-08 13:00,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,45,137
726,2025-10-08 13:15,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,35,193
727,2025-10-08 13:30,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,42,151
728,2025-10-08 13:45,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,26,180
729,2025-10-08 14:00,Wednesday,Weekday,Cloudy,Dussehra,None,None,High,11,90
730,2025-10-08 14:15,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,28,162
731,2025-10-08 14:30,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,27,146
732,2025-10-08 14:45,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,45,200
733,2025-10-08 15:00,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,25,137
734,2025-10-08 15:15,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,42,153
735,2025-10-08 15:30,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,44,122
736,2025-10-08 15:45,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,32,133
737,2025-10-08 16:00,Wednesday,Weekday,Cloudy,Dussehra,None,None,High,12,71
738,2025-10-08 16:15,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,31,152
739,2025-10-08 16:30,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,33,171
740,2025-10-08 16:45,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,36,176
741,2025-10-08 17:00,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,39,181
742,2025-10-08 17:15,Wednesday,Weekday,Cloudy,Dussehra,None,None,High,11,88
743,2025-10-08 17:30,Wednesday,Weekday,Cloudy,Dussehra,None,None,High,25,81
744,2025-10-08 17:45,Wednesday,Weekday,Clear,Dussehra,None,None,High,10,70
745,2025-10-08 18:00,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,40,156
746,2025-10-08 18:15,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,25,187
747,2025-10-08 18:30,Wednesday,Weekday,Clear,Dussehra,None,None,High,20,72
748,2025-10-08 18:45,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,32,200
749,2025-10-08 19:00,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,42,188
750,2025-10-08 19:15,Wednesday,Weekday,Clear,Dussehra,None,None,High,22,72
751,2025-10-08 19:30,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,29,172
752,2025-10-08 19:45,Wednesday,Weekday,Cloudy,Dussehra,None,None,High,14,93
753,2025-10-08 20:00,Wednesday,Weekday,Clear,Dussehra,None,None,High,23,110
754,2025-10-08 20:15,Wednesday,Weekday,Clear,Dussehra,None,None,High,24,88
755,2025-10-08 20:30,Wednesday,Weekday,Cloudy,Dussehra,None,None,High,20,88
756,2025-10-08 20:45,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,45,144
757,2025-10-08 21:00,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,27,143
758,2025-10-08 21:15,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,31,190
759,2025-10-08 21:30,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,45,174
760,2025-10-08 21:45,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,42,150
761,2025-10-08 22:00,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,35,138
762,2025-10-08 22:15,Wednesday,Weekday,Cloudy,Dussehra,None,None,High,14,114
763,2025-10-08 22:30,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,26,130
764,2025-10-08 22:45,Wednesday,Weekday,Cloudy,Dussehra,None,None,High,16,89
765,2025-10-08 23:00,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,30,146
766,2025-10-08 23:15,Wednesday,Weekday,Clear,Dussehra,None,None,Very High,26,177
767,2025-10-08 23:30,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,45,173
768,2025-10-08 23:45,Wednesday,Weekday,Cloudy,Dussehra,None,None,Very High,32,120
769,2025-10-09 00:00,Thursday,Weekday,Cloudy,Dussehra,None,None,High,15,90
770,2025-10-09 00:15,Thursday,Weekday,Cloudy,Dussehra,None,None,High,16,106
771,2025-10-09 00:30,Thursday,Weekday,Clear,Dussehra,None,None,Very High,39,124
772,2025-10-09 00:45,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,44,128
773,2025-10-09 01:00,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,42,177
774,2025-10-09 01:15,Thursday,Weekday,Clear,Dussehra,None,None,High,12,102
775,2025-10-09 01:30,Thursday,Weekday,Clear,Dussehra,None,None,High,11,79
776,2025-10-09 01:45,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,32,125
777,2025-10-09 02:00,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,39,144
778,2025-10-09 02:15,Thursday,Weekday,Cloudy,Dussehra,None,None,High,17,79
779,2025-10-09 02:30,Thursday,Weekday,Clear,Dussehra,None,None,High,25,93
780,2025-10-09 02:45,Thursday,Weekday,Cloudy,Dussehra,None,None,High,23,119
781,2025-10-09 03:00,Thursday,Weekday,Clear,Dussehra,None,None,Very High,28,152
782,2025-10-09 03:15,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,37,152
783,2025-10-09 03:30,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,26,163
784,2025-10-09 03:45,Thursday,Weekday,Clear,Dussehra,None,None,High,14,80
785,2025-10-09 04:00,Thursday,Weekday,Clear,Dussehra,None,None,High,19,98
786,2025-10-09 04:15,Thursday,Weekday,Clear,Dussehra,None,None,Very High,35,153
787,2025-10-09 04:30,Thursday,Weekday,Clear,Dussehra,None,None,Very High,37,134
788,2025-10-09 04:45,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,40,143
789,2025-10-09 05:00,Thursday,Weekday,Cloudy,Dussehra,None,None,High,19,102
790,2025-10-09 05:15,Thursday,Weekday,Clear,Dussehra,None,None,High,14,81
791,2025-10-09 05:30,Thursday,Weekday,Clear,Dussehra,None,None,Very High,38,196
792,2025-10-09 05:45,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,34,166
793,2025-10-09 06:00,Thursday,Weekday,Clear,Dussehra,None,None,High,15,100
794,2025-10-09 06:15,Thursday,Weekday,Clear,Dussehra,None,None,High,24,94
795,2025-10-09 06:30,Thursday,Weekday,Cloudy,Dussehra,None,None,High,16,71
796,2025-10-09 06:45,Thursday,Weekday,Cloudy,Dussehra,None,None,High,23,98
797,2025-10-09 07:00,Thursday,Weekday,Clear,Dussehra,None,None,High,17,93
798,2025-10-09 07:15,Thursday,Weekday,Cloudy,Dussehra,None,None,High,17,103
799,2025-10-09 07:30,Thursday,Weekday,Clear,Dussehra,None,None,Very High,44,157
800,2025-10-09 07:45,Thursday,Weekday,Clear,Dussehra,None,None,High,18,112
801,2025-10-09 08:00,Thursday,Weekday,Cloudy,Dussehra,None,None,High,19,114
802,2025-10-09 08:15,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,36,150
803,2025-10-09 08:30,Thursday,Weekday,Clear,Dussehra,None,None,Very High,32,158
804,2025-10-09 08:45,Thursday,Weekday,Cloudy,Dussehra,None,None,High,25,79
805,2025-10-09 09:00,Thursday,Weekday,Clear,Dussehra,None,None,High,16,108
806,2025-10-09 09:15,Thursday,Weekday,Clear,Dussehra,None,None,Very High,31,158
807,2025-10-09 09:30,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,36,177
808,2025-10-09 09:45,Thursday,Weekday,Clear,Dussehra,None,None,High,18,90
809,2025-10-09 10:00,Thursday,Weekday,Clear,Dussehra,None,None,High,16,71
810,2025-10-09 10:15,Thursday,Weekday,Clear,Dussehra,None,None,High,11,73
811,2025-10-09 10:30,Thursday,Weekday,Clear,Dussehra,None,None,High,15,115
812,2025-10-09 10:45,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,45,189
813,2025-10-09 11:00,Thursday,Weekday,Cloudy,Dussehra,None,None,High,23,72
814,2025-10-09 11:15,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,42,131
815,2025-10-09 11:30,Thursday,Weekday,Clear,Dussehra,None,None,High,17,98
816,2025-10-09 11:45,Thursday,Weekday,Cloudy,Dussehra,None,None,High,24,113
817,2025-10-09 12:00,Thursday,Weekday,Clear,Dussehra,None,None,Very High,40,144
818,2025-10-09 12:15,Thursday,Weekday,Cloudy,Dussehra,None,None,High,16,120
819,2025-10-09 12:30,Thursday,Weekday,Cloudy,Dussehra,None,None,High,13,116
820,2025-10-09 12:45,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,40,185
821,2025-10-09 13:00,Thursday,Weekday,Cloudy,Dussehra,None,None,High,20,78
822,2025-10-09 13:15,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,34,133
823,2025-10-09 13:30,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,25,152
824,2025-10-09 13:45,Thursday,Weekday,Clear,Dussehra,None,None,Very High,34,138
825,2025-10-09 14:00,Thursday,Weekday,Clear,Dussehra,None,None,High,13,81
826,2025-10-09 14:15,Thursday,Weekday,Cloudy,Dussehra,None,None,High,25,91
827,2025-10-09 14:30,Thursday,Weekday,Cloudy,Dussehra,None,None,High,21,105
828,2025-10-09 14:45,Thursday,Weekday,Clear,Dussehra,None,None,High,12,85
829,2025-10-09 15:00,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,28,123
830,2025-10-09 15:15,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,25,188
831,2025-10-09 15:30,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,34,157
832,2025-10-09 15:45,Thursday,Weekday,Clear,Dussehra,None,None,High,13,105
833,2025-10-09 16:00,Thursday,Weekday,Cloudy,Dussehra,None,None,High,10,105
834,2025-10-09 16:15,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,26,162
835,2025-10-09 16:30,Thursday,Weekday,Cloudy,Dussehra,None,None,High,24,87
836,2025-10-09 16:45,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,32,198
837,2025-10-09 17:00,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,41,146
838,2025-10-09 17:15,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,31,152
839,2025-10-09 17:30,Thursday,Weekday,Clear,Dussehra,None,None,Very High,29,148
840,2025-10-09 17:45,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,32,183
841,2025-10-09 18:00,Thursday,Weekday,Clear,Dussehra,None,None,Very High,27,191
842,2025-10-09 18:15,Thursday,Weekday,Clear,Dussehra,None,None,Very High,44,181
843,2025-10-09 18:30,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,32,157
844,2025-10-09 18:45,Thursday,Weekday,Clear,Dussehra,None,None,Very High,42,167
845,2025-10-09 19:00,Thursday,Weekday,Clear,Dussehra,None,None,Very High,35,199
846,2025-10-09 19:15,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,26,132
847,2025-10-09 19:30,Thursday,Weekday,Clear,Dussehra,None,None,High,20,117
848,2025-10-09 19:45,Thursday,Weekday,Cloudy,Dussehra,None,None,High,10,81
849,2025-10-09 20:00,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,27,169
850,2025-10-09 20:15,Thursday,Weekday,Clear,Dussehra,None,None,Very High,42,162
851,2025-10-09 20:30,Thursday,Weekday,Cloudy,Dussehra,None,None,High,24,91
852,2025-10-09 20:45,Thursday,Weekday,Clear,Dussehra,None,None,High,15,85
853,2025-10-09 21:00,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,32,148
854,2025-10-09 21:15,Thursday,Weekday,Clear,Dussehra,None,None,High,21,83
855,2025-10-09 21:30,Thursday,Weekday,Cloudy,Dussehra,None,None,High,18,100
856,2025-10-09 21:45,Thursday,Weekday,Clear,Dussehra,None,None,High,17,119
857,2025-10-09 22:00,Thursday,Weekday,Clear,Dussehra,None,None,Very High,44,188
858,2025-10-09 22:15,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,34,147
859,2025-10-09 22:30,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,40,200
860,2025-10-09 22:45,Thursday,Weekday,Clear,Dussehra,None,None,Very High,40,199
861,2025-10-09 23:00,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,45,135
862,2025-10-09 23:15,Thursday,Weekday,Cloudy,Dussehra,None,None,Very High,38,155
863,2025-10-09 23:30,Thursday,Weekday,Cloudy,Dussehra,None,None,High,13,117
864,2025-10-09 23:45,Thursday,Weekday,Clear,Dussehra,None,None,Very High,32,176
865,2025-10-10 00:00,Friday,Weekday,Cloudy,Dussehra,None,None,High,21,96
866,2025-10-10 00:15,Friday,Weekday,Clear,Dussehra,None,None,High,11,85
867,2025-10-10 00:30,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,33,180
868,2025-10-10 00:45,Friday,Weekday,Clear,Dussehra,None,None,High,25,74
869,2025-10-10 01:00,Friday,Weekday,Cloudy,Dussehra,None,None,High,24,106
870,2025-10-10 01:15,Friday,Weekday,Clear,Dussehra,None,None,High,17,92
871,2025-10-10 01:30,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,42,147
872,2025-10-10 01:45,Friday,Weekday,Cloudy,Dussehra,None,None,High,23,92
873,2025-10-10 02:00,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,36,128
874,2025-10-10 02:15,Friday,Weekday,Clear,Dussehra,None,None,High,22,79
875,2025-10-10 02:30,Friday,Weekday,Cloudy,Dussehra,None,None,High,15,92
876,2025-10-10 02:45,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,25,174
877,2025-10-10 03:00,Friday,Weekday,Clear,Dussehra,None,None,High,20,94
878,2025-10-10 03:15,Friday,Weekday,Cloudy,Dussehra,None,None,High,21,116
879,2025-10-10 03:30,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,34,130
880,2025-10-10 03:45,Friday,Weekday,Clear,Dussehra,None,None,High,15,109
881,2025-10-10 04:00,Friday,Weekday,Clear,Dussehra,None,None,Very High,38,136
882,2025-10-10 04:15,Friday,Weekday,Clear,Dussehra,None,None,High,11,94
883,2025-10-10 04:30,Friday,Weekday,Clear,Dussehra,None,None,High,25,117
884,2025-10-10 04:45,Friday,Weekday,Cloudy,Dussehra,None,None,High,18,117
885,2025-10-10 05:00,Friday,Weekday,Clear,Dussehra,None,None,High,10,107
886,2025-10-10 05:15,Friday,Weekday,Cloudy,Dussehra,None,None,High,15,117
887,2025-10-10 05:30,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,25,155
888,2025-10-10 05:45,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,35,139
889,2025-10-10 06:00,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,36,183
890,2025-10-10 06:15,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,38,194
891,2025-10-10 06:30,Friday,Weekday,Clear,Dussehra,None,None,Very High,30,126
892,2025-10-10 06:45,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,29,184
893,2025-10-10 07:00,Friday,Weekday,Clear,Dussehra,None,None,Very High,43,160
894,2025-10-10 07:15,Friday,Weekday,Clear,Dussehra,None,None,Very High,26,193
895,2025-10-10 07:30,Friday,Weekday,Clear,Dussehra,None,None,Very High,43,176
896,2025-10-10 07:45,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,35,130
897,2025-10-10 08:00,Friday,Weekday,Clear,Dussehra,None,None,High,14,106
898,2025-10-10 08:15,Friday,Weekday,Clear,Dussehra,None,None,Very High,32,171
899,2025-10-10 08:30,Friday,Weekday,Clear,Dussehra,None,None,High,19,97
900,2025-10-10 08:45,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,41,176
901,2025-10-10 09:00,Friday,Weekday,Clear,Dussehra,None,None,Very High,31,137
902,2025-10-10 09:15,Friday,Weekday,Clear,Dussehra,None,None,High,13,90
903,2025-10-10 09:30,Friday,Weekday,Clear,Dussehra,None,None,High,13,81
904,2025-10-10 09:45,Friday,Weekday,Clear,Dussehra,None,None,Very High,34,167
905,2025-10-10 10:00,Friday,Weekday,Cloudy,Dussehra,None,None,High,17,116
906,2025-10-10 10:15,Friday,Weekday,Cloudy,Dussehra,None,None,High,21,78
907,2025-10-10 10:30,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,25,161
908,2025-10-10 10:45,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,28,143
909,2025-10-10 11:00,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,40,155
910,2025-10-10 11:15,Friday,Weekday,Cloudy,Dussehra,None,None,High,13,93
911,2025-10-10 11:30,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,33,183
912,2025-10-10 11:45,Friday,Weekday,Cloudy,Dussehra,None,None,High,24,73
913,2025-10-10 12:00,Friday,Weekday,Cloudy,Dussehra,None,None,High,16,76
914,2025-10-10 12:15,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,44,173
915,2025-10-10 12:30,Friday,Weekday,Clear,Dussehra,None,None,Very High,30,165
916,2025-10-10 12:45,Friday,Weekday,Cloudy,Dussehra,None,None,High,23,106
917,2025-10-10 13:00,Friday,Weekday,Clear,Dussehra,None,None,Very High,30,130
918,2025-10-10 13:15,Friday,Weekday,Cloudy,Dussehra,None,None,High,13,73
919,2025-10-10 13:30,Friday,Weekday,Clear,Dussehra,None,None,High,14,74
920,2025-10-10 13:45,Friday,Weekday,Clear,Dussehra,None,None,High,23,84
921,2025-10-10 14:00,Friday,Weekday,Clear,Dussehra,None,None,High,15,119
922,2025-10-10 14:15,Friday,Weekday,Clear,Dussehra,None,None,Very High,45,160
923,2025-10-10 14:30,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,26,147
924,2025-10-10 14:45,Friday,Weekday,Cloudy,Dussehra,None,None,High,12,96
925,2025-10-10 15:00,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,32,160
926,2025-10-10 15:15,Friday,Weekday,Cloudy,Dussehra,None,None,High,23,113
927,2025-10-10 15:30,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,44,163
928,2025-10-10 15:45,Friday,Weekday,Clear,Dussehra,None,None,Very High,37,123
929,2025-10-10 16:00,Friday,Weekday,Clear,Dussehra,None,None,Very High,35,150
930,2025-10-10 16:15,Friday,Weekday,Clear,Dussehra,None,None,Very High,36,124
931,2025-10-10 16:30,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,34,140
932,2025-10-10 16:45,Friday,Weekday,Clear,Dussehra,None,None,High,24,108
933,2025-10-10 17:00,Friday,Weekday,Clear,Dussehra,None,None,Very High,26,120
934,2025-10-10 17:15,Friday,Weekday,Cloudy,Dussehra,None,None,High,22,87
935,2025-10-10 17:30,Friday,Weekday,Clear,Dussehra,None,None,High,11,89
936,2025-10-10 17:45,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,28,164
937,2025-10-10 18:00,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,25,176
938,2025-10-10 18:15,Friday,Weekday,Clear,Dussehra,None,None,Very High,45,162
939,2025-10-10 18:30,Friday,Weekday,Cloudy,Dussehra,None,None,High,22,75
940,2025-10-10 18:45,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,30,154
941,2025-10-10 19:00,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,27,178
942,2025-10-10 19:15,Friday,Weekday,Clear,Dussehra,None,None,Very High,36,182
943,2025-10-10 19:30,Friday,Weekday,Clear,Dussehra,None,None,Very High,29,133
944,2025-10-10 19:45,Friday,Weekday,Clear,Dussehra,None,None,High,18,74
945,2025-10-10 20:00,Friday,Weekday,Cloudy,Dussehra,None,None,High,25,94
946,2025-10-10 20:15,Friday,Weekday,Clear,Dussehra,None,None,Very High,45,196
947,2025-10-10 20:30,Friday,Weekday,Cloudy,Dussehra,None,None,High,21,79
948,2025-10-10 20:45,Friday,Weekday,Clear,Dussehra,None,None,High,22,112
949,2025-10-10 21:00,Friday,Weekday,Cloudy,Dussehra,None,None,High,19,108
950,2025-10-10 21:15,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,25,155
951,2025-10-10 21:30,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,34,161
952,2025-10-10 21:45,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,32,191
953,2025-10-10 22:00,Friday,Weekday,Cloudy,Dussehra,None,None,Very High,42,147
954,2025-10-10 22:15,Friday,Weekday,Clear,Dussehra,None,None,High,15,71
955,2025-10-10 22:30,Friday,Weekday,Clear,Dussehra,None,None,Very High,38,193
956,2025-10-10 22:45,Friday,Weekday,Cloudy,Dussehra,None,None,High,18,70
957,2025-10-10 23:00,Friday,Weekday,Clear,Dussehra,None,None,Very High,32,136
958,2025-10-10 23:15,Friday,Weekday,Clear,Dussehra,None,None,Very High,32,192
959,2025-10-10 23:30,Friday,Weekday,Clear,Dussehra,None,None,Very High,27,126
960,2025-10-10 23:45,Friday,Weekday,Cloudy,Dussehra,None,None,High,16,99
961,2025-10-11 00:00,Saturday,Weekend,Clear,None,None,None,Medium,10,54
962,2025-10-11 00:15,Saturday,Weekend,Clear,None,None,None,Medium,10,68
963,2025-10-11 00:30,Saturday,Weekend,Rainy,None,None,None,Medium,10,58
964,2025-10-11 00:45,Saturday,Weekend,Clear,None,None,None,Medium,8,61
965,2025-10-11 01:00,Saturday,Weekend,Clear,None,None,None,Low,0,29
966,2025-10-11 01:15,Saturday,Weekend,Clear,None,None,None,Low,5,30
967,2025-10-11 01:30,Saturday,Weekend,Clear,None,None,None,Medium,8,45
968,2025-10-11 01:45,Saturday,Weekend,Cloudy,None,None,None,Medium,5,53
969,2025-10-11 02:00,Saturday,Weekend,Sunny,None,None,None,Medium,8,53
970,2025-10-11 02:15,Saturday,Weekend,Clear,None,None,None,Low,0,37
971,2025-10-11 02:30,Saturday,Weekend,Light Rain,None,None,None,Medium,7,53
972,2025-10-11 02:45,Saturday,Weekend,Clear,None,None,None,Medium,7,68
973,2025-10-11 03:00,Saturday,Weekend,Clear,None,None,None,Low,4,20
974,2025-10-11 03:15,Saturday,Weekend,Clear,None,None,None,Low,1,28
975,2025-10-11 03:30,Saturday,Weekend,Clear,None,None,None,Medium,9,64
976,2025-10-11 03:45,Saturday,Weekend,Cloudy,None,None,None,Medium,6,43
977,2025-10-11 04:00,Saturday,Weekend,Sunny,None,None,None,Medium,5,43
978,2025-10-11 04:15,Saturday,Weekend,Rainy,None,None,None,Medium,6,58
979,2025-10-11 04:30,Saturday,Weekend,Clear,None,None,None,Low,2,29
980,2025-10-11 04:45,Saturday,Weekend,Clear,None,None,None,Low,4,30
981,2025-10-11 05:00,Saturday,Weekend,Rainy,None,None,None,Low,4,24
982,2025-10-11 05:15,Saturday,Weekend,Clear,None,None,None,Low,0,40
983,2025-10-11 05:30,Saturday,Weekend,Clear,None,None,None,Medium,6,48
984,2025-10-11 05:45,Saturday,Weekend,Light Rain,None,None,None,Medium,9,69
985,2025-10-11 06:00,Saturday,Weekend,Cloudy,None,None,None,Low,5,35
986,2025-10-11 06:15,Saturday,Weekend,Light Rain,None,None,None,Low,2,31
987,2025-10-11 06:30,Saturday,Weekend,Cloudy,None,None,None,Low,3,23
988,2025-10-11 06:45,Saturday,Weekend,Cloudy,None,None,None,Low,3,39
989,2025-10-11 07:00,Saturday,Weekend,Cloudy,None,None,None,Low,4,35
990,2025-10-11 07:15,Saturday,Weekend,Cloudy,None,None,None,Medium,10,47
